"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"US1INLK0037","41.492842","-87.404936","195.4","2010-01-15",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-01-17",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-01-19",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-01-20",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-01-21",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-01-22",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-01-23",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-01-24",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-01-26",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-01-27",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-01-29",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-01-31",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-02-03",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-02-05",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-02-08",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-08",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-09",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-10",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-11",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-12",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-13",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-14",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-15",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-16",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-17",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-19",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-21",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-22",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-23",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-24",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-25",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-26",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-27",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-28",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-29",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-30",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-03-31",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-01",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-03",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-04",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-05",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-06",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-07",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-08",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-09",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-13",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-16",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-17",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-18",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-19",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-20",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-21",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-22",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-23",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-24",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-25",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-04-26",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-05-02",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-05-04",,,,
"US1INLK0037","41.492842","-87.404936","195.4","2010-05-05",,,,
