"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-05-22",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-05-23",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-05-24",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-05-25",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-05-26",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-05-27",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-05-28",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-05-29",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-05-30",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-05-31",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-01",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-02",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-03",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-04",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-05",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-06",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-07",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-08",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-09",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-10",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-11",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-12",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-13",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-14",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-15",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-16",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-17",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-18",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-19",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-20",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-21",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-22",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-23",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-24",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-25",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-26",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-27",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-28",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-29",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-06-30",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-01",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-02",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-03",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-04",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-05",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-06",,,,
"US1ILWL0050","LOCKPORT 3.3 ESE, IL US","41.577101","-87.985454","223.1","2015-07-07",,,,
