"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-01-01",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-01-02",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-01-03",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-01-04",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-01-05",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-01-06",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-01-07",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-01-09",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-01-17",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-01-18",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-01-19",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-01-20",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-02-07",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-02-08",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-02-09",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-02-17",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-02-20",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-02-21",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-02-23",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-02-24",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-02-28",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-03-01",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-03-03",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-03-04",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-03-05",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-03-09",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-03-10",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2011-03-11",,,,
