"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2012-01-01",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2012-01-02",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2012-01-03",,,,
"US1INLK0037","SCHERERVILLE 2.3 E, IN US","41.492842","-87.404936","195.4","2012-05-21",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-03-18",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-03-19",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-03-20",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-03-21",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-03-22",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-03-23",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-03-24",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-03-26",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-03-27",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-03-28",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-03-29",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-03-30",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-03-31",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-04-01",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-04-02",,,,
"US1INLK0035","ST. JOHN 1.9 ENE, IN US","41.455907","-87.4412","221.9","2012-04-03",,,,
